LSOA code,Year,Month_Num,Burglary_Count,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Does not apply_x,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma,Does not apply_y,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,School_Count,Precise_Daylight_Hours
E01000002,2016,6,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,16.37
E01000002,2016,12,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,7.93
E01000002,2017,2,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,9.93
E01000002,2017,11,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,8.4
E01000002,2018,4,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,13.93
E01000002,2018,9,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,12.43
E01000002,2018,11,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,8.4
E01000002,2019,4,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,13.93
E01000002,2019,8,2,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,14.4
E01000002,2019,9,1,7,102,37,32,3,9,2,0,0,28,26,4,2,37,13,734,0,42,302,6,86,631,7,15,10,40,88,358,55,95,0.0,12.43
